ID;Campanha;Extrato_Campanha;Variavel_Campanha;Niveis_Campanha;Percentual_Campanha
41;Seca 2015;Area Rural-1;Formas do Abastecimento de Agua;Igarape;2.6
42;Seca 2015;Area Rural-1;Formas do Abastecimento de Agua;Outros;0
43;Cheia 2016;Area Rural-1;Formas do Abastecimento de Agua;Poco;34.3
44;Cheia 2016;Area Rural-1;Formas do Abastecimento de Agua;Rio;48.6
45;Cheia 2016;Area Rural-1;Formas do Abastecimento de Agua;Nascente;17.1
46;Cheia 2016;Area Rural-1;Formas do Abastecimento de Agua;Rede Geral;0
47;Cheia 2016;Area Rural-1;Formas do Abastecimento de Agua;Igarape;0
48;Cheia 2016;Area Rural-1;Formas do Abastecimento de Agua;Outros;0
49;Seca 2016;Area Rural-1;Formas do Abastecimento de Agua;Poco;46.7
50;Seca 2016;Area Rural-1;Formas do Abastecimento de Agua;Rio;6.7
51;Seca 2016;Area Rural-1;Formas do Abastecimento de Agua;Nascente;22.2
52;Seca 2016;Area Rural-1;Formas do Abastecimento de Agua;Rede Geral;0
53;Seca 2016;Area Rural-1;Formas do Abastecimento de Agua;Igarape;2.2
54;Seca 2016;Area Rural-1;Formas do Abastecimento de Agua;Outros;0
55;Cheia 2017;Area Rural-1;Formas do Abastecimento de Agua;Poco;58.3
56;Cheia 2017;Area Rural-1;Formas do Abastecimento de Agua;Rio;0
57;Cheia 2017;Area Rural-1;Formas do Abastecimento de Agua;Nascente;5.6
58;Cheia 2017;Area Rural-1;Formas do Abastecimento de Agua;Rede Geral;0
59;Cheia 2017;Area Rural-1;Formas do Abastecimento de Agua;Igarape;8.3
60;Cheia 2017;Area Rural-1;Formas do Abastecimento de Agua;Outros;0
61;Seca 2017;Area Rural-1;Formas do Abastecimento de Agua;Poco;51.4
62;Seca 2017;Area Rural-1;Formas do Abastecimento de Agua;Rio;2.9
63;Seca 2017;Area Rural-1;Formas do Abastecimento de Agua;Nascente;11.4
64;Seca 2017;Area Rural-1;Formas do Abastecimento de Agua;Rede Geral;0
65;Seca 2017;Area Rural-1;Formas do Abastecimento de Agua;Igarape;2.9
66;Seca 2017;Area Rural-1;Formas do Abastecimento de Agua;Outros;0
67;Cheia 2018;Area Rural-1;Formas do Abastecimento de Agua;Poco;57.9
68;Cheia 2018;Area Rural-1;Formas do Abastecimento de Agua;Rio;0
69;Cheia 2018;Area Rural-1;Formas do Abastecimento de Agua;Nascente;7.9
70;Cheia 2018;Area Rural-1;Formas do Abastecimento de Agua;Rede Geral;0
71;Cheia 2018;Area Rural-1;Formas do Abastecimento de Agua;Igarape;2.6
72;Cheia 2018;Area Rural-1;Formas do Abastecimento de Agua;Outros;0
73;Seca 2018;Area Rural-1;Formas do Abastecimento de Agua;Poco;54.5
74;Seca 2018;Area Rural-1;Formas do Abastecimento de Agua;Rio;0
75;Seca 2018;Area Rural-1;Formas do Abastecimento de Agua;Nascente;15.9
76;Seca 2018;Area Rural-1;Formas do Abastecimento de Agua;Rede Geral;0
77;Seca 2018;Area Rural-1;Formas do Abastecimento de Agua;Igarape;4.5
78;Seca 2018;Area Rural-1;Formas do Abastecimento de Agua;Outros;0
79;Cheia 2019;Area Rural-1;Formas do Abastecimento de Agua;Poco;68.6
80;Cheia 2019;Area Rural-1;Formas do Abastecimento de Agua;Rio;0
81;Cheia 2019;Area Rural-1;Formas do Abastecimento de Agua;Nascente;2.9
82;Cheia 2019;Area Rural-1;Formas do Abastecimento de Agua;Rede Geral;0
83;Cheia 2019;Area Rural-1;Formas do Abastecimento de Agua;Igarape;2.9
84;Cheia 2019;Area Rural-1;Formas do Abastecimento de Agua;Outros;0
85;Seca 2019;Area Rural-1;Formas do Abastecimento de Agua;Poco;71.7
86;Seca 2019;Area Rural-1;Formas do Abastecimento de Agua;Rio;0
87;Seca 2019;Area Rural-1;Formas do Abastecimento de Agua;Nascente;0
88;Seca 2019;Area Rural-1;Formas do Abastecimento de Agua;Rede Geral;0
89;Seca 2019;Area Rural-1;Formas do Abastecimento de Agua;Igarape;2.2
90;Seca 2019;Area Rural-1;Formas do Abastecimento de Agua;Outros;2.2
91;Seca 2020;Area Rural-1;Formas do Abastecimento de Agua;Poco;64.9
92;Seca 2020;Area Rural-1;Formas do Abastecimento de Agua;Rio;0
93;Seca 2020;Area Rural-1;Formas do Abastecimento de Agua;Nascente;2.7
94;Seca 2020;Area Rural-1;Formas do Abastecimento de Agua;Rede Geral;0
95;Seca 2020;Area Rural-1;Formas do Abastecimento de Agua;Igarape;2.7
96;Seca 2020;Area Rural-1;Formas do Abastecimento de Agua;Outros;0
97;Seca 2012;Area Rural-2;Formas do Abastecimento de Agua;Poco;78.3
98;Seca 2012;Area Rural-2;Formas do Abastecimento de Agua;Rio;17.4
99;Seca 2012;Area Rural-2;Formas do Abastecimento de Agua;Nascente;4.3
100;Seca 2012;Area Rural-2;Formas do Abastecimento de Agua;Rede Geral;0
101;Seca 2012;Area Rural-2;Formas do Abastecimento de Agua;Igarape;0
102;Seca 2012;Area Rural-2;Formas do Abastecimento de Agua;Outros;0
103;Cheia 2013;Area Rural-2;Formas do Abastecimento de Agua;Poco;67.9
104;Cheia 2013;Area Rural-2;Formas do Abastecimento de Agua;Rio;28.6
105;Cheia 2013;Area Rural-2;Formas do Abastecimento de Agua;Nascente;3.6
106;Cheia 2013;Area Rural-2;Formas do Abastecimento de Agua;Rede Geral;0
107;Cheia 2013;Area Rural-2;Formas do Abastecimento de Agua;Igarape;0
108;Cheia 2013;Area Rural-2;Formas do Abastecimento de Agua;Outros;0
109;Seca 2013;Area Rural-2;Formas do Abastecimento de Agua;Poco;67.4
110;Seca 2013;Area Rural-2;Formas do Abastecimento de Agua;Rio;10.9
111;Seca 2013;Area Rural-2;Formas do Abastecimento de Agua;Nascente;13
112;Seca 2013;Area Rural-2;Formas do Abastecimento de Agua;Rede Geral;2.2
113;Seca 2013;Area Rural-2;Formas do Abastecimento de Agua;Igarape;6.5
114;Seca 2013;Area Rural-2;Formas do Abastecimento de Agua;Outros;0
115;Cheia 2014;Area Rural-2;Formas do Abastecimento de Agua;Poco;61.1
116;Cheia 2014;Area Rural-2;Formas do Abastecimento de Agua;Rio;27.8
117;Cheia 2014;Area Rural-2;Formas do Abastecimento de Agua;Nascente;8.3
118;Cheia 2014;Area Rural-2;Formas do Abastecimento de Agua;Rede Geral;2.8
119;Cheia 2014;Area Rural-2;Formas do Abastecimento de Agua;Igarape;0
120;Cheia 2014;Area Rural-2;Formas do Abastecimento de Agua;Outros;0
121;Seca 2014;Area Rural-2;Formas do Abastecimento de Agua;Poco;70
122;Seca 2014;Area Rural-2;Formas do Abastecimento de Agua;Rio;26
123;Seca 2014;Area Rural-2;Formas do Abastecimento de Agua;Nascente;2
124;Seca 2014;Area Rural-2;Formas do Abastecimento de Agua;Rede Geral;0
125;Seca 2014;Area Rural-2;Formas do Abastecimento de Agua;Igarape;2
126;Seca 2014;Area Rural-2;Formas do Abastecimento de Agua;Outros;0
127;Cheia 2015;Area Rural-2;Formas do Abastecimento de Agua;Poco;76.7
128;Cheia 2015;Area Rural-2;Formas do Abastecimento de Agua;Rio;20.9
129;Cheia 2015;Area Rural-2;Formas do Abastecimento de Agua;Nascente;0
130;Cheia 2015;Area Rural-2;Formas do Abastecimento de Agua;Rede Geral;0
131;Cheia 2015;Area Rural-2;Formas do Abastecimento de Agua;Igarape;2.3
132;Cheia 2015;Area Rural-2;Formas do Abastecimento de Agua;Outros;0
133;Seca 2015;Area Rural-2;Formas do Abastecimento de Agua;Poco;65.9
134;Seca 2015;Area Rural-2;Formas do Abastecimento de Agua;Rio;34.1
135;Seca 2015;Area Rural-2;Formas do Abastecimento de Agua;Nascente;0
136;Seca 2015;Area Rural-2;Formas do Abastecimento de Agua;Rede Geral;0
137;Seca 2015;Area Rural-2;Formas do Abastecimento de Agua;Igarape;0
138;Seca 2015;Area Rural-2;Formas do Abastecimento de Agua;Outros;0
139;Cheia 2016;Area Rural-2;Formas do Abastecimento de Agua;Poco;72.3
140;Cheia 2016;Area Rural-2;Formas do Abastecimento de Agua;Rio;27.7
141;Cheia 2016;Area Rural-2;Formas do Abastecimento de Agua;Nascente;0
142;Cheia 2016;Area Rural-2;Formas do Abastecimento de Agua;Rede Geral;0
143;Cheia 2016;Area Rural-2;Formas do Abastecimento de Agua;Igarape;0
144;Cheia 2016;Area Rural-2;Formas do Abastecimento de Agua;Outros;0
145;Seca 2016;Area Rural-2;Formas do Abastecimento de Agua;Poco;96.8
146;Seca 2016;Area Rural-2;Formas do Abastecimento de Agua;Rio;0
147;Seca 2016;Area Rural-2;Formas do Abastecimento de Agua;Nascente;0
148;Seca 2016;Area Rural-2;Formas do Abastecimento de Agua;Rede Geral;0
149;Seca 2016;Area Rural-2;Formas do Abastecimento de Agua;Igarape;0
150;Seca 2016;Area Rural-2;Formas do Abastecimento de Agua;Outros;0
151;Cheia 2017;Area Rural-2;Formas do Abastecimento de Agua;Poco;88.9
152;Cheia 2017;Area Rural-2;Formas do Abastecimento de Agua;Rio;0
153;Cheia 2017;Area Rural-2;Formas do Abastecimento de Agua;Nascente;0
154;Cheia 2017;Area Rural-2;Formas do Abastecimento de Agua;Rede Geral;0
155;Cheia 2017;Area Rural-2;Formas do Abastecimento de Agua;Igarape;0
156;Cheia 2017;Area Rural-2;Formas do Abastecimento de Agua;Outros;0
157;Seca 2017;Area Rural-2;Formas do Abastecimento de Agua;Poco;89.4
158;Seca 2017;Area Rural-2;Formas do Abastecimento de Agua;Rio;0
159;Seca 2017;Area Rural-2;Formas do Abastecimento de Agua;Nascente;0
160;Seca 2017;Area Rural-2;Formas do Abastecimento de Agua;Rede Geral;0
161;Seca 2017;Area Rural-2;Formas do Abastecimento de Agua;Igarape;0
162;Seca 2017;Area Rural-2;Formas do Abastecimento de Agua;Outros;0
163;Cheia 2018;Area Rural-2;Formas do Abastecimento de Agua;Poco;86
164;Cheia 2018;Area Rural-2;Formas do Abastecimento de Agua;Rio;0
165;Cheia 2018;Area Rural-2;Formas do Abastecimento de Agua;Nascente;0
166;Cheia 2018;Area Rural-2;Formas do Abastecimento de Agua;Rede Geral;0
167;Cheia 2018;Area Rural-2;Formas do Abastecimento de Agua;Igarape;0
168;Cheia 2018;Area Rural-2;Formas do Abastecimento de Agua;Outros;0
169;Seca 2018;Area Rural-2;Formas do Abastecimento de Agua;Poco;85.4
170;Seca 2018;Area Rural-2;Formas do Abastecimento de Agua;Rio;0
171;Seca 2018;Area Rural-2;Formas do Abastecimento de Agua;Nascente;0
172;Seca 2018;Area Rural-2;Formas do Abastecimento de Agua;Rede Geral;0
173;Seca 2018;Area Rural-2;Formas do Abastecimento de Agua;Igarape;0
174;Seca 2018;Area Rural-2;Formas do Abastecimento de Agua;Outros;0
175;Cheia 2019;Area Rural-2;Formas do Abastecimento de Agua;Poco;88.6
176;Cheia 2019;Area Rural-2;Formas do Abastecimento de Agua;Rio;2.9
177;Cheia 2019;Area Rural-2;Formas do Abastecimento de Agua;Nascente;0
178;Cheia 2019;Area Rural-2;Formas do Abastecimento de Agua;Rede Geral;5.7
179;Cheia 2019;Area Rural-2;Formas do Abastecimento de Agua;Igarape;0
180;Cheia 2019;Area Rural-2;Formas do Abastecimento de Agua;Outros;0
181;Seca 2019;Area Rural-2;Formas do Abastecimento de Agua;Poco;87
182;Seca 2019;Area Rural-2;Formas do Abastecimento de Agua;Rio;0
183;Seca 2019;Area Rural-2;Formas do Abastecimento de Agua;Nascente;0
184;Seca 2019;Area Rural-2;Formas do Abastecimento de Agua;Rede Geral;0
185;Seca 2019;Area Rural-2;Formas do Abastecimento de Agua;Igarape;1.9
186;Seca 2019;Area Rural-2;Formas do Abastecimento de Agua;Outros;0
187;Seca 2020;Area Rural-2;Formas do Abastecimento de Agua;Poco;83.7
188;Seca 2020;Area Rural-2;Formas do Abastecimento de Agua;Rio;0
189;Seca 2020;Area Rural-2;Formas do Abastecimento de Agua;Nascente;0
190;Seca 2020;Area Rural-2;Formas do Abastecimento de Agua;Rede Geral;0
191;Seca 2020;Area Rural-2;Formas do Abastecimento de Agua;Igarape;0
192;Seca 2020;Area Rural-2;Formas do Abastecimento de Agua;Outros;2
193;Seca 2012;Area Urbana-1;Formas do Abastecimento de Agua;Poco;92.6
194;Seca 2012;Area Urbana-1;Formas do Abastecimento de Agua;Rio;3.7
195;Seca 2012;Area Urbana-1;Formas do Abastecimento de Agua;Nascente;1.9
196;Seca 2012;Area Urbana-1;Formas do Abastecimento de Agua;Rede Geral;1.9
197;Seca 2012;Area Urbana-1;Formas do Abastecimento de Agua;Igarape;0
198;Seca 2012;Area Urbana-1;Formas do Abastecimento de Agua;Outros;0
199;Cheia 2013;Area Urbana-1;Formas do Abastecimento de Agua;Poco;93.9
200;Cheia 2013;Area Urbana-1;Formas do Abastecimento de Agua;Rio;2
201;Cheia 2013;Area Urbana-1;Formas do Abastecimento de Agua;Nascente;4.1
202;Cheia 2013;Area Urbana-1;Formas do Abastecimento de Agua;Rede Geral;0
203;Cheia 2013;Area Urbana-1;Formas do Abastecimento de Agua;Igarape;0
204;Cheia 2013;Area Urbana-1;Formas do Abastecimento de Agua;Outros;0
205;Seca 2013;Area Urbana-1;Formas do Abastecimento de Agua;Poco;93.5
206;Seca 2013;Area Urbana-1;Formas do Abastecimento de Agua;Rio;0
207;Seca 2013;Area Urbana-1;Formas do Abastecimento de Agua;Nascente;6.5
208;Seca 2013;Area Urbana-1;Formas do Abastecimento de Agua;Rede Geral;0
209;Seca 2013;Area Urbana-1;Formas do Abastecimento de Agua;Igarape;0
210;Seca 2013;Area Urbana-1;Formas do Abastecimento de Agua;Outros;0
211;Cheia 2014;Area Urbana-1;Formas do Abastecimento de Agua;Poco;84.4
212;Cheia 2014;Area Urbana-1;Formas do Abastecimento de Agua;Rio;4.4
213;Cheia 2014;Area Urbana-1;Formas do Abastecimento de Agua;Nascente;11.1
214;Cheia 2014;Area Urbana-1;Formas do Abastecimento de Agua;Rede Geral;0
215;Cheia 2014;Area Urbana-1;Formas do Abastecimento de Agua;Igarape;0
216;Cheia 2014;Area Urbana-1;Formas do Abastecimento de Agua;Outros;0
217;Seca 2014;Area Urbana-1;Formas do Abastecimento de Agua;Poco;70.7
218;Seca 2014;Area Urbana-1;Formas do Abastecimento de Agua;Rio;2.4
219;Seca 2014;Area Urbana-1;Formas do Abastecimento de Agua;Nascente;14.6
220;Seca 2014;Area Urbana-1;Formas do Abastecimento de Agua;Rede Geral;12.2
221;Seca 2014;Area Urbana-1;Formas do Abastecimento de Agua;Igarape;0
222;Seca 2014;Area Urbana-1;Formas do Abastecimento de Agua;Outros;0
223;Cheia 2015;Area Urbana-1;Formas do Abastecimento de Agua;Poco;91.4
224;Cheia 2015;Area Urbana-1;Formas do Abastecimento de Agua;Rio;2.9
225;Cheia 2015;Area Urbana-1;Formas do Abastecimento de Agua;Nascente;2.9
226;Cheia 2015;Area Urbana-1;Formas do Abastecimento de Agua;Rede Geral;2.9
227;Cheia 2015;Area Urbana-1;Formas do Abastecimento de Agua;Igarape;0
228;Cheia 2015;Area Urbana-1;Formas do Abastecimento de Agua;Outros;0
229;Seca 2015;Area Urbana-1;Formas do Abastecimento de Agua;Poco;59.1
230;Seca 2015;Area Urbana-1;Formas do Abastecimento de Agua;Rio;0
231;Seca 2015;Area Urbana-1;Formas do Abastecimento de Agua;Nascente;11.4
232;Seca 2015;Area Urbana-1;Formas do Abastecimento de Agua;Rede Geral;29.5
233;Seca 2015;Area Urbana-1;Formas do Abastecimento de Agua;Igarape;0
234;Seca 2015;Area Urbana-1;Formas do Abastecimento de Agua;Outros;0
235;Cheia 2016;Area Urbana-1;Formas do Abastecimento de Agua;Poco;59.6
236;Cheia 2016;Area Urbana-1;Formas do Abastecimento de Agua;Rio;0
237;Cheia 2016;Area Urbana-1;Formas do Abastecimento de Agua;Nascente;6.4
238;Cheia 2016;Area Urbana-1;Formas do Abastecimento de Agua;Rede Geral;34
239;Cheia 2016;Area Urbana-1;Formas do Abastecimento de Agua;Igarape;0
240;Cheia 2016;Area Urbana-1;Formas do Abastecimento de Agua;Outros;0
241;Seca 2016;Area Urbana-1;Formas do Abastecimento de Agua;Poco;86.4
242;Seca 2016;Area Urbana-1;Formas do Abastecimento de Agua;Rio;0
243;Seca 2016;Area Urbana-1;Formas do Abastecimento de Agua;Nascente;8.5
244;Seca 2016;Area Urbana-1;Formas do Abastecimento de Agua;Rede Geral;1.7
245;Seca 2016;Area Urbana-1;Formas do Abastecimento de Agua;Igarape;0
246;Seca 2016;Area Urbana-1;Formas do Abastecimento de Agua;Outros;0
247;Cheia 2017;Area Urbana-1;Formas do Abastecimento de Agua;Poco;83.3
248;Cheia 2017;Area Urbana-1;Formas do Abastecimento de Agua;Rio;0
249;Cheia 2017;Area Urbana-1;Formas do Abastecimento de Agua;Nascente;3.7
250;Cheia 2017;Area Urbana-1;Formas do Abastecimento de Agua;Rede Geral;13
251;Cheia 2017;Area Urbana-1;Formas do Abastecimento de Agua;Igarape;0
252;Cheia 2017;Area Urbana-1;Formas do Abastecimento de Agua;Outros;0
253;Seca 2017;Area Urbana-1;Formas do Abastecimento de Agua;Poco;87.5
254;Seca 2017;Area Urbana-1;Formas do Abastecimento de Agua;Rio;0
255;Seca 2017;Area Urbana-1;Formas do Abastecimento de Agua;Nascente;0
256;Seca 2017;Area Urbana-1;Formas do Abastecimento de Agua;Rede Geral;8.9
257;Seca 2017;Area Urbana-1;Formas do Abastecimento de Agua;Igarape;1.8
258;Seca 2017;Area Urbana-1;Formas do Abastecimento de Agua;Outros;0
259;Cheia 2018;Area Urbana-1;Formas do Abastecimento de Agua;Poco;83.6
260;Cheia 2018;Area Urbana-1;Formas do Abastecimento de Agua;Rio;0
261;Cheia 2018;Area Urbana-1;Formas do Abastecimento de Agua;Nascente;3.6
262;Cheia 2018;Area Urbana-1;Formas do Abastecimento de Agua;Rede Geral;9.1
263;Cheia 2018;Area Urbana-1;Formas do Abastecimento de Agua;Igarape;0
264;Cheia 2018;Area Urbana-1;Formas do Abastecimento de Agua;Outros;0
265;Seca 2018;Area Urbana-1;Formas do Abastecimento de Agua;Poco;61.8
266;Seca 2018;Area Urbana-1;Formas do Abastecimento de Agua;Rio;0
267;Seca 2018;Area Urbana-1;Formas do Abastecimento de Agua;Nascente;16.4
268;Seca 2018;Area Urbana-1;Formas do Abastecimento de Agua;Rede Geral;18.2
269;Seca 2018;Area Urbana-1;Formas do Abastecimento de Agua;Igarape;0
270;Seca 2018;Area Urbana-1;Formas do Abastecimento de Agua;Outros;0
271;Cheia 2019;Area Urbana-1;Formas do Abastecimento de Agua;Poco;81.4
272;Cheia 2019;Area Urbana-1;Formas do Abastecimento de Agua;Rio;0
273;Cheia 2019;Area Urbana-1;Formas do Abastecimento de Agua;Nascente;0
274;Cheia 2019;Area Urbana-1;Formas do Abastecimento de Agua;Rede Geral;16.9
275;Cheia 2019;Area Urbana-1;Formas do Abastecimento de Agua;Igarape;0
276;Cheia 2019;Area Urbana-1;Formas do Abastecimento de Agua;Outros;0
277;Seca 2019;Area Urbana-1;Formas do Abastecimento de Agua;Poco;54.1
278;Seca 2019;Area Urbana-1;Formas do Abastecimento de Agua;Rio;0
279;Seca 2019;Area Urbana-1;Formas do Abastecimento de Agua;Nascente;3.3
280;Seca 2019;Area Urbana-1;Formas do Abastecimento de Agua;Rede Geral;39.3
281;Seca 2019;Area Urbana-1;Formas do Abastecimento de Agua;Igarape;0
282;Seca 2019;Area Urbana-1;Formas do Abastecimento de Agua;Outros;0
283;Seca 2020;Area Urbana-1;Formas do Abastecimento de Agua;Poco;42.6
284;Seca 2020;Area Urbana-1;Formas do Abastecimento de Agua;Rio;0
285;Seca 2020;Area Urbana-1;Formas do Abastecimento de Agua;Nascente;0
286;Seca 2020;Area Urbana-1;Formas do Abastecimento de Agua;Rede Geral;49.2
287;Seca 2020;Area Urbana-1;Formas do Abastecimento de Agua;Igarape;1.6
288;Seca 2020;Area Urbana-1;Formas do Abastecimento de Agua;Outros;0
289;Seca 2012;Area Urbana-2;Formas do Abastecimento de Agua;Poco;44.4
290;Seca 2012;Area Urbana-2;Formas do Abastecimento de Agua;Rio;13.3
291;Seca 2012;Area Urbana-2;Formas do Abastecimento de Agua;Nascente;0
292;Seca 2012;Area Urbana-2;Formas do Abastecimento de Agua;Rede Geral;42.2
293;Seca 2012;Area Urbana-2;Formas do Abastecimento de Agua;Igarape;0
294;Seca 2012;Area Urbana-2;Formas do Abastecimento de Agua;Outros;0
295;Cheia 2013;Area Urbana-2;Formas do Abastecimento de Agua;Poco;63
296;Cheia 2013;Area Urbana-2;Formas do Abastecimento de Agua;Rio;0
297;Cheia 2013;Area Urbana-2;Formas do Abastecimento de Agua;Nascente;0
298;Cheia 2013;Area Urbana-2;Formas do Abastecimento de Agua;Rede Geral;37
299;Cheia 2013;Area Urbana-2;Formas do Abastecimento de Agua;Igarape;0
300;Cheia 2013;Area Urbana-2;Formas do Abastecimento de Agua;Outros;0
301;Seca 2013;Area Urbana-2;Formas do Abastecimento de Agua;Poco;29.9
302;Seca 2013;Area Urbana-2;Formas do Abastecimento de Agua;Rio;0
303;Seca 2013;Area Urbana-2;Formas do Abastecimento de Agua;Nascente;0
304;Seca 2013;Area Urbana-2;Formas do Abastecimento de Agua;Rede Geral;70.1
305;Seca 2013;Area Urbana-2;Formas do Abastecimento de Agua;Igarape;0
306;Seca 2013;Area Urbana-2;Formas do Abastecimento de Agua;Outros;0
307;Cheia 2014;Area Urbana-2;Formas do Abastecimento de Agua;Poco;34.7
308;Cheia 2014;Area Urbana-2;Formas do Abastecimento de Agua;Rio;1.4
309;Cheia 2014;Area Urbana-2;Formas do Abastecimento de Agua;Nascente;0
310;Cheia 2014;Area Urbana-2;Formas do Abastecimento de Agua;Rede Geral;63.9
311;Cheia 2014;Area Urbana-2;Formas do Abastecimento de Agua;Igarape;0
312;Cheia 2014;Area Urbana-2;Formas do Abastecimento de Agua;Outros;0
313;Seca 2014;Area Urbana-2;Formas do Abastecimento de Agua;Poco;45.7
314;Seca 2014;Area Urbana-2;Formas do Abastecimento de Agua;Rio;0
315;Seca 2014;Area Urbana-2;Formas do Abastecimento de Agua;Nascente;0
316;Seca 2014;Area Urbana-2;Formas do Abastecimento de Agua;Rede Geral;54.3
317;Seca 2014;Area Urbana-2;Formas do Abastecimento de Agua;Igarape;0
318;Seca 2014;Area Urbana-2;Formas do Abastecimento de Agua;Outros;0
319;Cheia 2015;Area Urbana-2;Formas do Abastecimento de Agua;Poco;54.1
320;Cheia 2015;Area Urbana-2;Formas do Abastecimento de Agua;Rio;0
321;Cheia 2015;Area Urbana-2;Formas do Abastecimento de Agua;Nascente;0
322;Cheia 2015;Area Urbana-2;Formas do Abastecimento de Agua;Rede Geral;45.9
323;Cheia 2015;Area Urbana-2;Formas do Abastecimento de Agua;Igarape;0
324;Cheia 2015;Area Urbana-2;Formas do Abastecimento de Agua;Outros;0
325;Seca 2015;Area Urbana-2;Formas do Abastecimento de Agua;Poco;21.3
326;Seca 2015;Area Urbana-2;Formas do Abastecimento de Agua;Rio;4
327;Seca 2015;Area Urbana-2;Formas do Abastecimento de Agua;Nascente;0
328;Seca 2015;Area Urbana-2;Formas do Abastecimento de Agua;Rede Geral;74.7
329;Seca 2015;Area Urbana-2;Formas do Abastecimento de Agua;Igarape;0
330;Seca 2015;Area Urbana-2;Formas do Abastecimento de Agua;Outros;0
331;Cheia 2016;Area Urbana-2;Formas do Abastecimento de Agua;Poco;36
332;Cheia 2016;Area Urbana-2;Formas do Abastecimento de Agua;Rio;0
333;Cheia 2016;Area Urbana-2;Formas do Abastecimento de Agua;Nascente;0
334;Cheia 2016;Area Urbana-2;Formas do Abastecimento de Agua;Rede Geral;64
335;Cheia 2016;Area Urbana-2;Formas do Abastecimento de Agua;Igarape;0
336;Cheia 2016;Area Urbana-2;Formas do Abastecimento de Agua;Outros;0
337;Seca 2016;Area Urbana-2;Formas do Abastecimento de Agua;Poco;18.5
338;Seca 2016;Area Urbana-2;Formas do Abastecimento de Agua;Rio;0
339;Seca 2016;Area Urbana-2;Formas do Abastecimento de Agua;Nascente;0
340;Seca 2016;Area Urbana-2;Formas do Abastecimento de Agua;Rede Geral;81.5
341;Seca 2016;Area Urbana-2;Formas do Abastecimento de Agua;Igarape;0
342;Seca 2016;Area Urbana-2;Formas do Abastecimento de Agua;Outros;0
